ts,open,high,low,close,volume
1763559000000,91849.42,91849.42,91849.42,91849.42,0.0
1763559300000,91636.47,91810.25,91501.0,91501.0,0.10147
1763559600000,91630.3,91630.3,91630.3,91630.3,0.0001
1763559900000,91278.03,91623.85,91278.03,91623.85,0.00067
1763560200000,91565.27,91565.27,91565.27,91565.27,5e-05
1763560500000,91560.96,91560.96,91559.23,91559.23,0.00076
1763560800000,91557.14,91557.14,91534.36,91534.36,5e-05
1763561100000,91534.13,91534.13,91192.58,91192.58,0.0146
1763561400000,91454.19,91590.13,91452.36,91590.13,0.00055
1763561700000,91588.57,91588.57,91585.84,91585.84,0.00397
1763562000000,91487.66,91487.66,91487.66,91487.66,0.00033
1763562300000,91192.54,91327.83,91144.65,91326.88,0.00188
1763562600000,91066.75,91657.51,91066.75,91657.51,0.04313
1763562900000,91280.31,91656.78,91231.27,91231.27,0.0567
1763563200000,91655.74,91874.86,91597.11,91597.26,0.04558
1763563500000,91800.57,91900.82,91386.28,91833.29,0.00153
1763563800000,91441.61,91441.61,91441.61,91441.61,0.00051
1763564100000,91744.26,91853.4,91381.53,91853.4,0.00026
1763564400000,91903.05,91903.45,91574.32,91903.41,0.0021
1763564700000,91903.38,92257.79,91702.17,92257.79,0.13393
1763565000000,92121.76,92242.58,92000.0,92000.0,0.01912
1763565300000,92243.91,92360.9,92059.88,92060.07,0.02786
1763565600000,92000.0,92000.0,91455.97,91678.53,0.23524
1763565900000,91455.97,91635.83,91160.65,91160.65,0.01323
1763566200000,91465.34,91465.34,90800.0,90800.0,0.01326
1763566500000,90748.67,90748.67,90682.58,90682.58,0.00599
1763566800000,90772.57,90945.7,90707.5,90945.7,0.04531
1763567100000,90616.88,90616.88,90357.94,90357.94,0.0588
1763567400000,90300.04,90441.96,90000.41,90100.0,0.03059
1763567700000,90149.85,90149.85,89915.86,90147.98,0.11709
1763568000000,90148.31,90324.45,89916.53,89917.75,0.25411
1763568300000,90270.44,90362.3,90192.61,90361.82,0.00622
1763568600000,89917.1,90290.44,89916.6,89916.6,0.01725
1763568900000,90328.55,90328.55,89774.33,89774.33,0.00804
1763569200000,89745.08,90000.0,89745.08,90000.0,0.08593
1763569500000,89745.33,89891.14,89594.9,89594.9,0.03301
1763569800000,89841.76,89934.15,89596.86,89923.25,0.00552
1763570100000,89594.58,89833.26,89457.3,89825.46,0.12251
1763570400000,89821.91,89960.42,89766.08,89960.42,0.02957
1763570700000,89951.52,89951.52,89457.4,89802.93,0.02591
1763571000000,89772.38,89772.38,89600.0,89600.0,0.01032
1763571300000,89746.24,89930.55,89574.97,89574.97,0.01244
1763571600000,89938.57,90109.35,89500.07,89500.07,0.62788
1763571900000,89810.57,89810.57,89800.3,89800.3,0.00076
1763572200000,89799.54,89799.54,89385.78,89385.78,0.0767
1763572500000,89595.97,89595.97,89370.12,89583.08,0.00512
1763572800000,89370.12,89582.32,89347.68,89381.78,0.0455
1763573100000,89652.53,89652.53,89652.53,89652.53,0.00111
1763573400000,89381.78,89615.38,89133.86,89615.38,0.05367
1763573700000,89133.85,89133.85,88923.0,89000.0,1.16979
1763574000000,89141.33,89580.14,89141.33,89580.14,0.18388
1763574300000,89337.4,89416.62,89000.27,89416.62,0.11852
1763574600000,89200.01,89405.63,89200.0,89404.56,0.01716
1763574900000,89404.12,89404.12,89140.9,89140.9,0.00113
1763575200000,89579.43,89579.43,89564.8,89565.78,0.01842
1763575500000,89565.72,89565.77,89330.0,89549.38,0.09602
1763575800000,89565.77,89580.68,89565.47,89580.68,0.0301
1763576100000,89686.89,89743.03,89231.42,89231.42,0.04056
1763576400000,89231.42,89466.8,89210.54,89210.57,0.09083
1763576700000,89058.54,89058.59,88888.88,88888.88,0.54464
1763577000000,89058.55,89285.57,88900.27,89224.43,0.0671
1763577300000,89221.63,89353.02,89221.63,89353.02,0.1186
1763577600000,88972.94,89190.81,88903.21,89170.67,0.03847
1763577900000,88888.93,89147.73,88866.39,88866.39,0.03309
1763578200000,88866.39,89321.84,88866.39,89248.2,0.03088
1763578500000,89353.98,89353.98,89353.98,89353.98,2e-05
1763578800000,89354.17,89354.17,89032.38,89032.38,0.00636
1763579100000,89354.29,89354.31,89353.57,89354.31,0.01548
1763579400000,89352.64,89352.64,89062.0,89348.16,0.86866
1763579700000,89345.04,89345.04,89062.0,89312.42,0.09604
1763580000000,89310.03,89310.03,88901.27,88901.53,0.60197
1763580300000,88901.51,89162.08,88888.0,89161.52,0.00311
1763580600000,88852.6,88852.6,88839.18,88852.6,0.51109
1763580900000,89067.64,89067.64,88759.54,88759.54,0.01658
1763581200000,88759.54,88893.4,88715.0,88890.4,0.08413
1763581500000,88894.1,88894.1,88677.12,88888.41,0.06983
1763581800000,88894.13,89119.17,88696.55,89119.17,0.00585
1763582100000,89119.12,89119.12,88840.51,88840.51,0.00584
1763582400000,88840.67,89114.93,88750.0,88750.0,0.1185
1763582700000,88959.37,88959.37,88645.22,88903.28,0.0934
1763583000000,88902.37,88902.37,88622.68,88622.68,0.00281
1763583300000,89000.58,89000.58,88733.98,88733.98,0.00305
1763583600000,89120.26,89209.09,89001.43,89209.09,0.15529
