ts,open,high,low,close,volume
1763470740000,3054.89,3054.89,3054.89,3054.89,0.0
1763470800000,3052.46,3052.46,3052.38,3052.38,0.6941
1763470860000,3052.38,3052.38,3052.38,3052.38,0.0
1763470920000,3052.38,3052.38,3052.38,3052.38,0.0
1763470980000,3052.38,3052.38,3052.38,3052.38,0.0
1763471040000,3053.97,3053.97,3053.87,3053.87,0.0079
1763471100000,3053.87,3053.87,3053.87,3053.87,0.0
1763471160000,3053.87,3053.87,3053.87,3053.87,0.0
1763471220000,3053.87,3053.87,3053.87,3053.87,0.0
1763471280000,3053.87,3053.87,3053.87,3053.87,0.0
1763471340000,3053.87,3053.87,3053.87,3053.87,0.0
1763471400000,3053.87,3053.87,3053.87,3053.87,0.0
1763471460000,3054.94,3054.94,3054.94,3054.94,0.0029
1763471520000,3054.94,3054.94,3054.94,3054.94,0.0
1763471580000,3054.94,3054.94,3054.94,3054.94,0.0
1763471640000,3054.94,3054.94,3054.94,3054.94,0.0
1763471700000,3054.94,3054.94,3054.94,3054.94,0.0
1763471760000,3054.94,3054.94,3054.94,3054.94,0.0
1763471820000,3054.94,3054.94,3054.94,3054.94,0.0
1763471880000,3051.91,3051.91,3051.91,3051.91,0.0131
1763471940000,3051.91,3051.91,3051.91,3051.91,0.0
1763472000000,3051.91,3051.91,3051.91,3051.91,0.0
1763472060000,3041.86,3041.86,3041.86,3041.86,0.75
1763472120000,3041.86,3041.86,3041.86,3041.86,0.0
1763472180000,3041.86,3041.86,3041.86,3041.86,0.0
1763472240000,3037.24,3037.24,3037.22,3037.22,5.0221
1763472300000,3035.7,3035.7,3035.7,3035.7,3.7978
1763472360000,3035.7,3035.7,3035.7,3035.7,3.7022
1763472420000,3035.11,3035.11,3032.72,3032.72,28.993
1763472480000,3032.72,3032.72,3032.72,3032.72,0.0
1763472540000,3032.72,3032.72,3032.72,3032.72,0.0
1763472600000,3032.6,3032.6,3032.51,3032.51,0.0101
1763472660000,3032.51,3032.51,3032.51,3032.51,0.0
1763472720000,3032.51,3032.51,3032.51,3032.51,0.0
1763472780000,3032.51,3032.51,3032.51,3032.51,0.0
1763472840000,3032.51,3032.51,3032.51,3032.51,0.0
1763472900000,3033.0,3033.0,3033.0,3033.0,0.0751
